text,label
"how funky it was, all those animals, two of every ki",0
"and all that waste, the human shit somebody had to c",0
"Somebody, some love you hugged before fear,         ",0
"the fear of an in-sani-nation, the No Blues, ruined ",0
Go devil.                                           ,0
Public programs                                     ,0
like                                                ,0
Race.                                               ,0
Dems a Repub                                        ,0
"of Dumpster Molesters,                              ",0
Congressional                                       ,0
whole-part bidders on your ugliest clown.           ,0
"Left wing, right,                                   ",0
the missing moderates                               ,0
of flightless fight.                                ,0
Private                                             ,0
like                                                ,0
the Runs.                                           ,0
God evil.                                           ,0
Somebody had to clean that shit up.                 ,0
"Somebody, some love who raised you, wise.           ",0
"Feathered razors for eyebrows,                      ",0
"alto,                                               ",0
tenor.                                              ,0
Wasnâ€™t no branch.                                 ,0
Some                                                ,0
say                                                 ,0
"a tree,                                             ",0
not                                                 ,0
for rest either.                                    ,0
For change.                                         ,0
"Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  When was we a wild life,",0
From this thick tree issues miraculous bread.       ,0
"The breadfruit makes itself from copious shade,     ",0
"whose dial is the ground's dry, palmate leaves,     ",0
"a voluble, invaluable dome, a library,              ",0
"where all the town's talk is stored,                ",0
"and in whose core is coiledâ€”a tempest,            ",0
"a rising sea in wind, the spinning pages            ",0
"of remorseful texts, Bligh's log and cannonballs    ",0
"and bowling thunder, shelter from the rainÂ Â  Â    ",0
and so magnanimous in circumference                 ,0
"that it has no time without shade, and shade        ",0
is suffering. The sun makes their suffering mute.   ,0
"This bedraggled backyard, this unfulfilled lot,     ",0
"this little field of leaves, brittle and fallen,    ",0
"of all the cities of the world, this is your centre.",0
O to be luminous and exact! As this tree is         ,0
"in ripening sunshine, that your own leaves could shi",0
"with nourishment, and give such shade and peace,    ",0
the mirror of each canvas that you sign.            ,0
"Despite acclamation, despite contempt,              ",0
I was never part of that catalogue                  ,0
in spite of friends in the same business            ,0
"neither of the free-verse orthodoxy, nor the otherâ€”",0
"the clogged, elegiac thickness of memory;           ",0
"farther away from all that, forever,                ",0
knee-high in the foam of the page                   ,0
wading by sounding caves.                           ,0
"Gradually it hardens, the death-mask of Fame.       ",0
V                                                   ,0
And Sancta Trinidad. It is that sacred to me.       ,0
"However fragmentary, through a sunlit hedge,        ",0
by the running of clear water over the sun-wiry ston,0
and a cool hoarding of bamboos without a bridge     ,0
"phrases of Spain in summer, in the vale of Santa Cru",0
and immaculate reticence                            ,0
relent in equal shares unseparated                  ,0
by edge or rhythmâ€™s orientation                   ,0
amid the subtle claims of threnody                  ,0
no other sense of praise                            ,0
than wonder                                         ,0
*                                                   ,0
Predation                                           ,0
mythic proxy inflected                              ,0
the unanimous struggle of particulars               ,0
primed in situ                                      ,0
white for decay                                     ,0
red for the eye                                     ,0
blue beneath the snow                               ,0
a cold wind noticed too late                        ,0
now equitably disposed                              ,0
something brought to completion                     ,0
though the worm was in it                           ,0
beyond the forms of Baal                            ,0
*                                                   ,0
Emptied markers burning in the ruts                 ,0
deliberative motives                                ,0
more in balance than real                           ,0
fixtures of an arguing anxiety                      ,0
more generous less fragile                          ,0
neglected by speculation                            ,0
plainest increase finds the barb                    ,0
in the morose distortions of small forms            ,0
and the thin yellow words of the infatuation        ,0
it brings its own set of questions                  ,0
like something brought to be abandoned              ,0
by the side of the road                             ,0
*                                                   ,0
Description is what has been taken away             ,0
the infinite lost in the simulacrum of displacement ,0
a number not in arrangement but farther on          ,0
not in the distance but insistence                  ,0
the hours gained in anonymity                       ,0
the years lost word by word                         ,0
contradicted by the myopia of its internal logic    ,0
uphill favors sediment                              ,0
imago the gift imparted                             ,0
the cross-eyed shuffle of expedience                ,0
too late the song too late the door flies open      ,0
too late the spoken mercies too late the fabric bone,0
*                                                   ,0
Wandering ligatures accelerate expansion            ,0
to primary acquisition                              ,0
nomadic recourse                                    ,0
absorbed in gerundive detail                        ,0
reclaims the discretionary pursuit                  ,0
essentials                                          ,0
the exactions of light                              ,0
extolling the riot of genetic ambivalence           ,0
no ulterior duplicates                              ,0
no delivered verges                                 ,0
in shallow equilibrium                              ,0
only the instruments make rapid movements           ,0
adapting to internalized mechanisms                 ,0
adjusted by accretion                               ,0
*                                                   ,0
Proliferation                                       ,0
and impossible replicas                             ,0
regret or loss                                      ,0
become a gesture for that limit                     ,0
schemes of evidence                                 ,0
offered in contradiction                            ,0
*                                                   ,0
As intimate as doubt                                ,0
all that is personal in chance                      ,0
distinguishes one to one from                       ,0
the one from the other                              ,0
reinterpreted in the dark                           ,0
and shared only with number                         ,0
the objects in the room                             ,0
the articles on the desk                            ,0
are an assent to a consequent perfection            ,0
that is abandoned in moving on                      ,0
pursuing neither a conclusion nor                   ,0
a new point of entry                                ,0
what had become unacceptable                        ,0
is now overburdened only partially remembered       ,0
timed to the word denied with nothing               ,0
else to take its place or make its order            ,0
sustained by mechanism and the simulation           ,0
of some capable version or familiar resource        ,0
a preemptive predecessor quietly virtual provides   ,0
something other than an option                      ,0
A prowler in the mansion of my blood!              ,0
"I have not seen him, but I know his signs.          ",0
"Sometimes I hear him meddling with my food,         ",0
"Or in the cellar, poisoning my wines, â â€”        ",0
Yet face to face with him I never come;             ,0
"But by a foot print, by a book misplaced,           ",0
"Or by the imprint of an inky thumb,                 ",0
"Or by the next dayâ€™s meal, a strange new taste,   ",0
"I know that he has breached my household peace,     ",0
I know that somehow he has let him in.              ,0
"Shall I fling open a window, and shout Police!      ",0
"I dare not. He is of my kith and kin.              """,0
"God says to the meek one, â€œOn Sunday mornings, have t",0
Have them nestle dollar bills in the knots of elm tr,0
"If itâ€™s snowing, open the flue and start up the fire. T",0
jumprope with their name on it. Paint the windows vi,0
knock-kneed great blue heron is just like me: long l,0
longing. Tell them Iâ€™ve got a real doozy of a crossword,0
"meek one says, â€œAll rightâ€â€”goes to the window, sets his yel",0
not be more tired. His fingers have that tingling fe,0
one hell of a day. His motherâ€™s dyingâ€”can only eat bananas,0
put it out of his mind. Her voice is thinning out a ,0
question stuck in her throat. What that means to the,0
"room to darken, so he can set outâ€”keep x-ing the boxes ",0
"Sunday evenings, have them bundle their children in ",0
"to zip up their coatsâ€”itâ€™s cold, ice cold, out there. In t",0
"under that double-wide, thereâ€™s a nest of jaybirdsâ€”te",0
"vanish. Ask if, sometimes, everyone would just keep ",0
"When a foghorn lows at night, pours itself out on th",0
"x-shaped pilons and sets the gulls flying, ask if th",0
"young aspen treesâ€”â€œdaughters,â€ theyâ€™re calledâ€”laid bare by t",0
"zips from one naked branch to the next, the meek one",0
about his mother. Sheâ€™ll be getting hungry soon. She mo,0
"bathroom floor. Her long hairâ€”always in a neat, high bu",0
"crawled through town like a freight trainâ€”no rain, no h",0
draw the meek one clear up to heaven if he didnâ€™t just ,0
"Even in the half-light, the meek one saw his mother ",0
"From the other room, the meek one hears his mother w",0
The god of fire descends                           ,0
"to light the forest, to fill you                    ",0
with what hollows. Everyone you meet                ,0
you scorch. Somewhere inside                        ,0
you an oak blazesâ€”                                ,0
donâ€™t you know the bird inside                    ,0
loosens her grip on the bough                       ,0
and flies to the lake?                              ,0
"She wings now to carry water,                       ",0
"one beak filled at a time,                          ",0
to douse the flame. She will not                    ,0
"let the forest, whose berries                       ",0
"plumped her breast, burn away.                      ",0
Such devotion chills me to shame.                   ,0
When have I ever shown                              ,0
half such conviction?                               ,0
___                                                 ,0
On the stone path                                   ,0
Â  Â  Â  Â  Â  Â  Â leaves smash their heads into bits.,0
